video_name,hip_rom,knee_rom,torso_stability,heel_instability,toe_instability,knee_min_angle,hip_min_angle,torso_lean_peak,torso_lean_mean,descent_frames,ascent_frames,descent_ascent_ratio,knee_over_toe_mean,knee_over_toe_max,hip_below_knee_frac
50,110.73961595993778,106.8928087644216,1.5848396534908304,0.883527222674539,0.7446728560681993,57.37088695226368,52.80392082385889,30.280847983214407,24.99210386649962,23.0,30.0,0.7666666411111119,-0.4786853075484576,-0.199846191037078,0.3333333333333333
51,124.12845424950638,122.14926932909005,2.5889729351632704,0.9420624743302568,1.4489475124906912,55.1164222882506,49.64842858810537,28.8189290988982,23.695662474111824,23.0,30.0,0.7666666411111119,-0.4182779369030072,-0.042739468731432,0.3333333333333333
52,101.048280509863,93.22249433369066,3.0311264557170894,0.5811372492029295,0.7738390238227301,61.95689054516734,57.96879224093109,29.477061240104685,23.51654787646102,32.0,30.0,1.0666666311111122,-0.5349783290057566,-0.289108065827328,0.3055555555555556
53,36.564125604765394,28.50044078455912,0.8054241569955432,0.7964666175715135,0.805147712223662,41.92798287650616,57.99602170103845,11.701966664326354,11.04257462460098,60.0,2.0,29.9999850000075,-0.7140266187482689,-0.666989897801946,0.8611111111111112
54,13.510055224645356,11.113947742735604,1.9281299633540687,0.5057698815313074,0.5004953619653131,40.05751023499145,55.40384670389935,13.812757044871066,11.161187245882214,3.0,57.0,0.0526315780240074,-0.7445446262888004,-0.7004384372178352,1.0
55,11.382640828684764,7.712305153674798,1.6513950933820696,0.5968234918774623,1.0890189252796618,36.01738282222959,51.987697073804135,12.557896701545436,10.963110271511889,4.0,10.0,0.399999960000004,-0.6516113067184802,-0.6133479151641427,1.0
56,14.003839373196705,14.498716296977465,0.7689268997162123,0.3930801961242455,0.483312908017858,47.93230133835519,49.49841888046965,22.82570539866897,22.028354098436942,3.0,59.0,0.0508474567652973,-0.4640579924330999,-0.4488514752638317,0.9722222222222222
57,27.110758674521332,30.469834967887493,0.8402658819100297,0.634349332563373,0.3807735496625274,47.60416378325205,49.66540685989533,25.47159481727452,22.536732523706505,3.0,45.0,0.0666666651851852,-0.4648910986011989,-0.4524150315673461,0.8611111111111112
58,30.583017688426267,34.64925625622024,1.4111809613998034,0.5731939931168286,0.3954432581318307,50.758260965995575,52.26792783542692,25.08756293007602,23.17800574946704,5.0,59.0,0.0847457612754955,-0.4707815893112722,-0.4515537433934643,0.7777777777777778
59,32.85496479705279,40.45728583633529,3.7484697113474783,0.7545861811606315,2.0372788958442034,55.54326699079239,92.3191993295248,8.559633083114187,6.059453391682085,45.0,39.0,1.153846124260356,-0.7800417170375608,-0.643413911504885,0.0
60,38.19175023635708,48.10682709826263,3.877561047411052,0.7364182324809897,1.5784351383571549,52.632752121023344,93.28898465355924,7.835578024740025,6.692028929039157,42.0,1.0,41.99995800004201,-0.8202491425069159,-0.6627237501510828,0.0
61,40.28504159807936,48.96341384687648,3.43257591023612,0.5047417190768257,0.8997082125009358,55.69132460019968,86.11108997314514,10.644369367288729,9.700968173034736,40.0,34.0,1.1764705536332192,-0.7526787793768606,-0.5868987791326423,0.0
62,40.81059481102852,48.404607333029645,1.7743589295286246,1.296697976245736,1.281322680648186,58.017155565802256,85.74859396032636,12.292563217646927,11.223025024273404,45.0,33.0,1.3636363223140509,-0.7220820463757076,-0.5270726280443045,0.0
63,44.57114970221106,58.84066666400121,1.292232636541583,1.5116866228653871,1.4472602873289273,55.25115164135536,88.01076943405813,10.915091338694731,9.536121695637055,44.0,33.0,1.3333332929292945,-0.717193149772689,-0.4469467408031225,0.0
